,lat,long,tipo
422,-34.562482,-58.487277,colectivo
423,-34.57367,-58.477235,colectivo
424,-34.572047,-58.478675,colectivo
425,-34.556342,-58.491562,colectivo
426,-34.551742,-58.49477,colectivo
427,-34.559732000000004,-58.489222,colectivo
428,-34.557872,-58.490517,colectivo
429,-34.61557,-58.369207,colectivo
430,-34.648027,-58.37210699999999,colectivo
431,-34.58074000000001,-58.458337,colectivo
432,-34.580745,-58.46081,colectivo
433,-34.550432,-58.49589200000001,colectivo
434,-34.551408,-58.49773,colectivo
435,-34.5756,-58.475515,colectivo
436,-34.57778,-58.470845,colectivo
437,-34.583502,-58.45548,colectivo
438,-34.586296999999995,-58.454697,colectivo
439,-34.627387,-58.36839000000001,colectivo
440,-34.5683,-58.48103199999999,colectivo
441,-34.554112,-58.49311,colectivo
442,-34.5533,-58.49369300000001,colectivo
443,-34.647617,-58.368125,colectivo
444,-34.646035,-58.368363,colectivo
445,-34.644442,-58.368598,colectivo
446,-34.636157,-58.369855,colectivo
447,-34.633109999999995,-58.37031,colectivo
448,-34.630348,-58.370567,colectivo
449,-34.555492,-58.490895,colectivo
450,-34.638687,-58.369472,colectivo
451,-34.627775,-58.368827,colectivo
452,-34.578055,-58.471853,colectivo
453,-34.578947,-58.46576999999999,colectivo
454,-34.578365000000005,-58.463138,colectivo
455,-34.584398,-58.389645,colectivo
456,-34.57832,-58.45936,colectivo
457,-34.57632,-58.473485,colectivo
458,-34.570202,-58.47890500000001,colectivo
459,-34.574508,-58.475092,colectivo
460,-34.567332,-58.48146,colectivo
461,-34.56603,-58.48261,colectivo
462,-34.56426,-58.484247,colectivo
463,-34.562313,-58.486083,colectivo
464,-34.554087,-58.491865,colectivo
465,-34.557715,-58.489335,colectivo
466,-34.614348,-58.369193,colectivo
467,-34.584992,-58.39225,colectivo
468,-34.550845,-58.494643,colectivo
469,-34.571805,-58.477473,colectivo
470,-34.558607,-58.488713,colectivo
471,-34.560165000000005,-58.487635,colectivo
472,-34.55239,-58.493045,colectivo
473,-34.579272,-58.454677,colectivo
474,-34.58430300000001,-58.390372,colectivo
475,-34.582495,-58.450963,colectivo
476,-34.625823,-58.367987,colectivo
477,-34.578732,-58.456623,colectivo
478,-34.648308,-58.370072,colectivo
479,-34.648783,-58.372572,colectivo
480,-34.616712,-58.373098,colectivo
481,-34.606305,-58.370233,colectivo
482,-34.609512,-58.373975,colectivo
483,-34.61976,-58.379935,colectivo
484,-34.619696999999995,-58.377063,colectivo
485,-34.619642,-58.373962,colectivo
486,-34.624573,-58.418808,colectivo
487,-34.58909,-58.37229,colectivo
488,-34.614467,-58.373217,colectivo
489,-34.621228,-58.38699,colectivo
490,-34.621602,-58.39289300000001,colectivo
491,-34.624735,-58.42134300000001,colectivo
492,-34.620987,-58.382728,colectivo
493,-34.619405,-58.37295,colectivo
494,-34.622202,-58.38234,colectivo
495,-34.625545,-58.41703,colectivo
496,-34.590307,-58.373072,colectivo
497,-34.589605,-58.372472,colectivo
498,-34.625147,-58.413867,colectivo
499,-34.622877,-58.39417,colectivo
500,-34.615825,-58.374523,colectivo
501,-34.611096999999994,-58.37569000000001,colectivo
502,-34.616755,-58.373097,colectivo
503,-34.633996999999994,-58.370192,colectivo
504,-34.621632,-58.37285,colectivo
505,-34.625722,-58.372622,colectivo
506,-34.640712,-58.369155000000006,colectivo
507,-34.643252000000004,-58.36876700000001,colectivo
508,-34.603773,-58.38287800000001,colectivo
509,-34.604012,-58.38719200000001,colectivo
510,-34.629843,-58.371012,colectivo
511,-34.628992,-58.37209,colectivo
512,-34.605155,-58.37885,colectivo
513,-34.61253,-58.373622,colectivo
514,-34.611042,-58.375652,colectivo
515,-34.60973,-58.374235,colectivo
516,-34.612097,-58.376783,colectivo
517,-34.602362,-58.429123,colectivo
518,-34.603275,-58.42004,colectivo
519,-34.603727,-58.416085,colectivo
520,-34.604588,-58.445977,colectivo
521,-34.60555,-58.454387,colectivo
522,-34.606305,-58.451455,colectivo
523,-34.60546,-58.492,colectivo
524,-34.604113,-58.413735,colectivo
525,-34.604071999999995,-58.409575,colectivo
526,-34.604512,-58.405912,colectivo
527,-34.604712,-58.402392000000006,colectivo
528,-34.604452,-58.39303,colectivo
529,-34.60835,-58.487787,colectivo
530,-34.606987,-58.48533000000001,colectivo
531,-34.603958,-58.47931,colectivo
532,-34.60241,-58.476507,colectivo
533,-34.606167,-58.448298,colectivo
534,-34.603695,-58.49359499999999,colectivo
535,-34.60768,-58.49002,colectivo
536,-34.614247,-58.37323000000001,colectivo
537,-34.619025,-58.37298000000001,colectivo
538,-34.604185,-58.459615,colectivo
539,-34.601805,-58.432957,colectivo
540,-34.612697999999995,-58.375692,colectivo
541,-34.60229,-58.442702,colectivo
542,-34.64772,-58.37038,colectivo
543,-34.645455,-58.368453,colectivo
544,-34.63891,-58.369437,colectivo
545,-34.605635,-58.482835,colectivo
546,-34.603,-58.477582,colectivo
547,-34.623515000000005,-58.372722,colectivo
548,-34.607587,-58.374202,colectivo
549,-34.606275,-58.37674499999999,colectivo
550,-34.624732,-58.374002,colectivo
551,-34.644009999999994,-58.36866,colectivo
552,-34.640772,-58.369145,colectivo
553,-34.635791999999995,-58.369915,colectivo
554,-34.632962,-58.370327,colectivo
555,-34.626677,-58.372407,colectivo
556,-34.60187,-58.442042,colectivo
